Checkin service,Departure/Arrival time convenient,Age,Flight Distance,Class_dummy_Eco,Type of Travel_dummy_Personal Travel,Customer Type_dummy_disloyal Customer,Class_dummy_Eco Plus,satisfaction
4,1,24,1826,1,1,0,0,1
4,1,56,715,0,1,0,0,1
2,1,13,2306,1,1,0,0,1
1,1,26,1846,1,1,0,0,1
4,1,25,1783,1,1,0,0,1
3,1,30,1826,1,1,0,0,1
1,1,22,1542,1,1,0,0,1
3,1,65,423,1,1,0,0,1
4,1,24,1473,1,1,0,0,1
1,1,37,1887,0,1,0,1,1
4,1,34,1952,1,1,0,0,1
3,1,7,1598,1,1,0,0,1
2,1,39,1830,1,1,0,0,1
2,1,11,1761,1,1,0,0,1
4,1,52,332,1,1,0,0,1
1,1,24,1303,0,1,0,0,1
1,1,10,1624,1,1,0,0,1
2,1,52,1744,1,1,0,0,1
2,1,60,868,1,1,0,0,1
3,1,49,2497,0,1,0,1,1
3,1,8,2869,1,1,0,0,1
2,1,40,3516,1,1,0,0,1
2,1,33,2891,1,1,0,0,1
4,1,8,2457,1,1,0,0,1
1,1,49,1911,1,1,0,0,1
2,1,38,2498,1,1,0,0,1
3,1,49,2316,1,1,0,0,1
4,1,21,2095,1,1,0,0,1
2,1,13,1755,1,1,0,0,1
4,1,70,1650,1,1,0,0,1
2,1,45,488,1,1,0,0,1
1,1,67,465,1,1,0,0,1
1,1,59,474,1,1,0,0,1
3,1,48,374,0,1,0,0,1
4,1,44,365,1,1,0,0,1
3,1,52,351,1,1,0,0,1
2,1,9,2175,1,1,0,0,1
2,1,69,1428,1,1,0,0,1
1,1,51,986,1,1,0,0,1
1,1,9,1628,1,1,0,0,1
4,1,40,4161,1,1,0,0,1
4,1,33,3505,1,1,0,0,1
1,1,18,1948,1,1,0,0,1
5,2,23,1546,0,1,0,1,1
4,2,49,2044,0,1,0,1,1
3,2,39,2554,0,1,0,1,1
3,2,37,2387,1,1,0,0,1
4,2,12,2152,1,1,0,0,1
2,2,64,2141,1,1,0,0,1
2,2,46,1068,0,1,0,1,1
3,2,38,1913,1,1,0,0,1
2,2,38,897,1,1,0,0,1
1,2,25,3248,1,1,0,0,1
1,2,13,3842,0,1,0,1,1
5,2,20,3865,1,1,0,0,1
3,2,64,2441,1,1,0,0,1
1,2,41,3332,1,1,0,0,1
1,2,10,3432,0,1,0,0,1
2,2,21,3799,0,1,0,1,1
4,2,54,3504,1,1,0,0,1
4,2,46,1620,0,1,0,1,1
3,2,27,3024,1,1,0,0,1
3,2,67,2532,1,1,0,0,1
3,2,58,2759,1,1,0,0,1
3,2,9,2734,1,1,0,0,1
4,2,45,1237,0,1,0,0,1
2,2,57,1165,0,1,0,0,1
1,2,63,1109,1,1,0,0,1
4,2,16,2157,1,1,0,0,1
2,2,10,1863,1,1,0,0,1
1,2,17,2410,1,1,0,0,1
4,2,33,2359,0,1,0,1,1
3,2,70,1686,1,1,0,0,1
1,2,45,673,1,1,0,0,1
4,2,32,1657,1,1,0,0,1
1,2,65,651,0,1,0,0,1
4,2,65,614,1,1,0,0,1
1,2,20,1894,1,1,0,0,1
1,2,17,1911,0,1,0,1,1
3,2,30,1647,1,1,0,0,1
2,2,24,1856,1,1,0,0,1
3,2,39,1642,1,1,0,0,1
3,2,33,1949,1,1,0,0,1
3,2,64,419,1,1,0,0,1
4,2,37,1571,1,1,0,0,1
3,2,61,1119,1,1,0,0,1
2,2,60,1190,1,1,0,0,1
3,2,28,1844,1,1,0,0,1
2,2,26,959,1,1,0,0,1
1,2,41,2109,1,1,0,0,1
4,2,57,317,1,1,0,0,1
4,2,47,1977,1,1,0,0,1
1,2,61,291,1,1,0,0,1
1,2,29,1820,1,1,0,0,1
3,2,67,1721,1,1,0,0,1
2,2,21,4804,1,1,0,0,1
2,2,26,3466,1,1,0,0,1
2,2,30,2825,1,1,0,0,1
4,2,36,2561,1,1,0,0,1
3,2,49,2762,1,1,0,0,1
2,2,49,1184,1,1,0,0,1
3,2,48,1066,1,1,0,0,1
2,2,17,1740,1,1,0,0,1
4,2,10,1970,1,1,0,0,1
1,2,55,994,1,1,0,0,1
3,2,48,2391,0,1,0,1,1
2,2,58,2032,1,1,0,0,1
2,2,50,726,1,1,0,0,1
4,2,31,2206,1,1,0,0,1
2,2,25,2268,1,1,0,0,1
4,2,29,1743,1,1,0,0,1
1,2,68,503,0,1,0,0,1
4,2,48,457,1,1,0,0,1
4,2,54,1200,1,1,0,0,1
2,2,68,1732,1,1,0,0,1
3,2,63,296,0,1,0,0,1
3,2,28,2096,1,1,0,0,1
4,2,63,231,1,1,0,0,1
4,2,26,1636,1,1,0,0,1
2,2,11,1394,0,1,0,1,1
1,2,16,1399,1,1,0,0,1
2,2,49,1282,1,1,0,0,1
1,2,17,2008,1,1,0,0,1
4,2,62,832,1,1,0,0,1
2,2,18,2441,1,1,0,0,1
5,3,24,3219,1,1,0,0,1
2,3,12,2794,1,1,0,0,1
2,3,39,2274,1,1,0,0,1
3,3,46,2179,1,1,0,0,1
3,3,55,1656,1,1,0,0,1
2,3,18,2411,1,1,0,0,1
1,3,7,1817,1,1,0,0,1
5,3,13,1644,1,1,0,0,1
5,3,62,1595,1,1,0,0,1
2,3,49,427,1,1,0,0,1
3,3,36,1713,1,1,0,0,1
2,3,44,2680,0,1,0,1,1
4,3,27,2743,1,1,0,0,1
1,3,9,1900,1,1,0,0,1
2,3,51,2719,1,1,0,0,1
2,3,27,1866,1,1,0,0,1
1,3,47,706,1,1,0,0,1
1,3,48,538,1,1,0,0,1
4,3,15,1583,0,1,0,0,1
1,3,7,1890,1,1,0,0,1
2,3,62,1008,1,1,0,0,1
3,3,42,2768,1,1,0,0,1
2,3,64,2573,1,1,0,0,1
3,3,53,2522,0,1,0,0,1
3,3,42,1794,0,1,0,0,1
3,3,22,2676,1,1,0,0,1
3,3,19,3109,1,1,0,0,1
3,3,28,2035,0,1,0,1,1
4,3,61,1076,1,1,0,0,1
4,3,62,953,1,1,0,0,1
4,3,23,2858,1,1,0,0,1
1,3,34,2139,1,1,0,0,1
1,3,19,2493,1,1,0,0,1
4,3,67,2041,1,1,0,0,1
3,3,63,858,1,1,0,0,1
3,3,29,2383,1,1,0,0,1
2,3,51,748,1,1,0,0,1
2,3,22,1421,1,1,0,0,1
2,3,9,2037,1,1,0,0,1
3,3,57,679,1,1,0,0,1
2,3,26,2237,0,1,0,1,1
1,3,7,1871,1,1,0,0,1
1,3,12,1856,1,1,0,0,1
5,3,17,1865,1,1,0,0,1
3,3,58,437,1,1,0,0,1
4,3,14,1343,1,1,0,0,1
1,3,57,374,1,1,0,0,1
3,3,55,1422,1,1,0,0,1
2,3,22,1612,1,1,0,0,1
4,3,59,1618,1,1,0,0,1
2,3,21,1471,0,1,0,0,1
3,3,15,1950,1,1,0,0,1
1,3,27,976,1,1,0,0,1
4,3,69,1758,1,1,0,0,1
1,3,10,1461,1,1,0,0,1
3,3,22,1948,1,1,0,0,1
2,3,54,3358,1,1,0,0,1
2,3,61,1870,1,1,0,0,1
5,3,54,1858,1,1,0,0,1
2,3,33,2887,1,1,0,0,1
1,3,34,2623,0,1,0,1,1
2,3,51,979,1,1,0,0,1
3,3,58,622,1,1,0,0,1
3,3,50,1637,1,1,0,0,1
4,3,12,2465,1,1,0,0,1
4,3,58,1339,1,1,0,0,1
4,3,64,1459,1,1,0,0,1
4,3,65,435,1,1,0,0,1
2,3,12,2073,1,1,0,0,1
4,3,64,2225,1,1,0,0,1
4,3,29,2015,1,1,0,0,1
4,3,28,1364,1,1,0,0,1
5,3,22,1922,1,1,0,0,1
3,3,35,1118,1,1,0,0,1
2,3,25,1157,1,1,0,0,1
4,3,10,3490,0,1,0,0,1
1,3,14,1750,1,1,0,0,1
4,3,13,1372,0,1,0,1,1
2,3,66,1661,1,1,0,0,1
5,3,25,2268,1,1,0,0,1
5,3,56,984,0,1,0,0,1
4,4,17,3648,0,1,0,1,1
3,4,39,3582,1,1,0,0,1
4,4,69,3783,0,1,0,1,1
5,4,46,2201,1,1,0,0,1
4,4,30,3568,1,1,0,0,1
5,4,45,2177,1,1,0,0,1
3,4,12,3108,0,1,0,1,1
4,4,57,1566,1,1,0,0,1
3,4,18,2770,1,1,0,0,1
5,4,24,2762,1,1,0,0,1
4,4,9,2267,1,1,0,0,1
4,4,61,1222,1,1,0,0,1
5,4,41,2395,1,1,0,0,1
5,4,60,1104,1,1,0,0,1
5,4,15,2076,1,1,0,0,1
5,4,50,1002,1,1,0,0,1
1,4,50,2873,1,1,0,0,1
5,4,19,2248,1,1,0,0,1
5,4,41,1903,1,1,0,0,1
4,4,65,2253,1,1,0,0,1
3,4,32,2193,1,1,0,0,1
4,4,50,2415,1,1,0,0,1
3,4,52,2213,1,1,0,0,1
5,4,15,1818,1,1,0,0,1
4,4,56,1766,1,1,0,0,1
4,4,46,678,0,1,0,0,1
4,4,44,1456,1,1,0,0,1
5,4,25,2291,1,1,0,0,1
5,4,17,1827,1,1,0,0,1
3,4,27,1849,1,1,0,0,1
3,4,55,478,1,1,0,0,1
5,4,49,483,0,1,0,0,1
5,4,51,1314,1,1,0,0,1
5,4,15,1934,1,1,0,0,1
5,4,50,379,1,1,0,0,1
3,4,37,1303,1,1,0,0,1
3,4,36,1254,0,1,0,1,1
5,4,61,2145,1,1,0,0,1
3,4,44,1167,1,1,0,0,1
4,4,10,1721,1,1,0,0,1
1,4,43,239,1,1,0,0,1
5,4,18,1235,1,1,0,0,1
3,4,64,97,1,1,0,0,1
3,4,35,1746,1,1,0,0,1
3,4,8,1176,1,1,0,0,1
3,4,48,95,1,1,0,0,1
3,4,52,2338,1,1,0,0,1
5,4,65,1853,0,1,0,1,1
3,4,27,2510,0,1,0,1,1
4,4,61,2394,1,1,0,0,1
5,4,41,1543,0,1,0,0,1
3,4,23,2675,1,1,0,0,1
4,4,31,2844,1,1,0,0,1
5,4,41,2642,0,1,0,1,1
3,4,13,2510,1,1,0,0,1
5,4,41,2418,1,1,0,0,1
5,4,8,3001,1,1,0,0,1
4,4,33,2492,0,1,0,1,1
3,4,21,2681,1,1,0,0,1
4,4,33,2098,1,1,0,0,1
3,4,35,1933,1,1,0,0,1
3,4,8,1981,1,1,0,0,1
5,4,20,1672,0,1,0,1,1
5,4,26,2518,1,1,0,0,1
3,4,46,884,1,1,0,0,1
4,4,31,2051,1,1,0,0,1
4,4,61,1807,0,1,0,1,1
5,4,9,2214,1,1,0,0,1
5,4,24,1540,1,1,0,0,1
3,4,59,715,1,1,0,0,1
5,4,52,2173,0,1,0,1,1
3,4,68,709,1,1,0,0,1
5,4,51,2321,1,1,0,0,1
4,4,13,2153,1,1,0,0,1
3,4,56,2230,1,1,0,0,1
4,4,53,579,1,1,0,0,1
5,4,33,1237,1,1,0,0,1
5,4,25,1518,1,1,0,0,1
3,4,28,1170,1,1,0,0,1
3,4,45,440,1,1,0,0,1
4,4,46,1972,1,1,0,0,1
5,4,65,429,1,1,0,0,1
3,4,54,431,1,1,0,0,1
4,4,29,1691,1,1,0,0,1
5,4,40,1982,1,1,0,0,1
4,4,28,1522,0,1,0,0,1
5,4,44,339,1,1,0,0,1
5,4,34,1348,1,1,0,0,1
5,4,37,1446,0,1,0,1,1
3,4,9,1561,1,1,0,0,1
3,4,64,1590,1,1,0,0,1
3,4,34,2074,1,1,0,0,1
3,4,40,1766,1,1,0,0,1
3,4,59,91,1,1,0,0,1
5,4,32,3442,0,1,0,1,1
1,4,67,3254,1,1,0,0,1
1,4,19,3775,1,1,0,0,1
5,4,33,3384,0,1,0,1,1
2,4,15,3358,1,1,0,0,1
1,4,51,2020,1,1,0,0,1
2,4,10,3489,1,1,0,0,1
2,4,37,2975,1,1,0,0,1
4,4,28,3155,1,1,0,0,1
4,4,51,1629,1,1,0,0,1
1,4,62,1586,1,1,0,0,1
5,4,23,3148,1,1,0,0,1
3,4,43,2785,1,1,0,0,1
4,4,70,1464,1,1,0,0,1
4,4,47,1469,0,1,0,0,1
4,4,34,3160,1,1,0,0,1
4,4,44,1221,1,1,0,0,1
5,4,45,1204,0,1,0,1,1
1,4,50,2516,1,1,0,0,1
5,4,44,2831,1,1,0,0,1
1,4,46,1125,1,1,0,0,1
5,4,18,2083,1,1,0,0,1
5,4,61,1060,1,1,0,0,1
2,4,34,1934,1,1,0,0,1
4,4,57,1022,1,1,0,0,1
3,4,65,1002,1,1,0,0,1
5,4,23,2461,1,1,0,0,1
5,4,16,2604,1,1,0,0,1
5,4,66,914,1,1,0,0,1
1,4,39,884,0,1,0,0,1
4,4,66,2332,1,1,0,0,1
3,4,68,2289,1,1,0,0,1
5,4,34,2122,1,1,0,0,1
3,4,37,2241,1,1,0,0,1
3,4,43,1773,1,1,0,0,1
4,4,38,2315,1,1,0,0,1
5,4,24,1880,1,1,0,0,1
3,4,8,2190,1,1,0,0,1
3,4,21,1632,0,1,0,0,1
3,4,52,2176,1,1,0,0,1
4,4,64,624,1,1,0,0,1
3,4,22,1807,1,1,0,0,1
4,4,47,622,0,1,0,1,1
4,4,27,1967,1,1,0,0,1
4,4,9,1630,0,1,0,0,1
5,4,26,1461,0,1,0,0,1
5,4,34,523,0,1,0,0,1
3,4,12,1813,0,1,0,0,1
4,4,35,2238,1,1,0,0,1
4,4,41,466,0,1,0,1,1
2,4,41,1764,1,1,0,0,1
5,4,20,1493,0,1,0,0,1
3,4,7,1474,1,1,0,0,1
5,4,54,1215,1,1,0,0,1
4,4,54,1844,1,1,0,0,1
3,4,31,1597,1,1,0,0,1
3,4,24,1789,1,1,0,0,1
5,4,23,1927,0,1,0,1,1
3,4,50,1104,0,1,0,1,1
5,4,44,1063,1,1,0,0,1
2,4,15,1621,1,1,0,0,1
4,4,56,1795,1,1,0,0,1
5,4,32,1869,0,1,0,1,1
2,4,25,1398,1,1,0,0,1
5,4,25,1957,0,1,0,1,1
3,4,40,1139,1,1,0,0,1
5,4,18,1984,1,1,0,0,1
3,4,57,340,1,1,0,0,1
3,4,15,1434,1,1,0,0,1
5,4,34,2232,1,1,0,0,1
3,4,13,1507,1,1,0,0,1
4,4,30,1397,1,1,0,0,1
3,4,58,1213,0,1,0,1,1
4,4,45,1588,1,1,0,0,1
3,4,43,286,1,1,0,0,1
2,4,9,1890,0,1,0,1,1
3,4,68,1780,1,1,0,0,1
2,4,19,1843,1,1,0,0,1
5,4,30,1444,1,1,0,0,1
3,4,35,2059,1,1,0,0,1
3,4,40,1163,1,1,0,0,1
5,4,30,1635,1,1,0,0,1
3,4,44,2002,1,1,0,0,1
1,4,69,201,1,1,0,0,1
4,4,60,1240,1,1,0,0,1
1,4,54,113,1,1,0,0,1
3,4,46,1060,0,1,0,1,1
3,4,17,1079,0,1,0,0,1
2,4,17,4242,0,1,0,0,1
4,4,41,3657,1,1,0,0,1
5,4,9,3454,1,1,0,0,1
3,4,8,4079,0,1,0,0,1
3,4,34,2875,1,1,0,0,1
5,4,53,1728,1,1,0,0,1
4,4,48,1660,1,1,0,0,1
4,4,48,1427,1,1,0,0,1
3,4,7,2945,1,1,0,0,1
3,4,67,2972,1,1,0,0,1
2,4,51,1134,1,1,0,0,1
1,4,49,1027,1,1,0,0,1
5,4,14,2875,1,1,0,0,1
3,4,56,983,1,1,0,0,1
5,4,18,2317,1,1,0,0,1
4,4,48,953,0,1,0,0,1
4,4,47,2738,1,1,0,0,1
1,4,36,1819,1,1,0,0,1
2,4,49,920,0,1,0,0,1
2,4,46,868,1,1,0,0,1
4,4,9,1580,1,1,0,0,1
3,4,22,2649,0,1,0,1,1
2,4,29,2391,1,1,0,0,1
3,4,20,2575,1,1,0,0,1
3,4,20,2446,0,1,0,1,1
4,4,32,1940,1,1,0,0,1
3,4,41,2350,1,1,0,0,1
4,4,21,2082,1,1,0,0,1
4,4,14,1757,1,1,0,0,1
4,4,50,722,0,1,0,0,1
3,4,63,714,0,1,0,0,1
2,4,21,2371,1,1,0,0,1
4,4,42,2315,1,1,0,0,1
5,4,42,618,0,1,0,1,1
5,4,22,1388,1,1,0,0,1
5,4,41,1986,1,1,0,0,1
4,4,69,562,0,1,0,1,1
4,4,21,1762,0,1,0,1,1
3,4,33,2142,1,1,0,0,1
4,4,23,2135,1,1,0,0,1
5,4,69,1832,1,1,0,0,1
5,4,38,2001,1,1,0,0,1
1,4,60,503,0,1,0,0,1
3,4,44,467,1,1,0,0,1
5,4,54,1445,1,1,0,0,1
5,4,17,1191,0,1,0,1,1
4,4,58,1208,1,1,0,0,1
3,4,68,431,1,1,0,0,1
1,4,17,1194,1,1,0,0,1
4,4,44,418,1,1,0,0,1
4,4,17,1073,1,1,0,0,1
3,4,37,1559,1,1,0,0,1
5,4,70,359,1,1,0,0,1
3,4,39,1325,1,1,0,0,1
4,4,37,1897,0,1,0,1,1
2,4,19,1549,1,1,0,0,1
3,4,63,299,1,1,0,0,1
3,4,33,1478,1,1,0,0,1
3,4,41,1572,1,1,0,0,1
5,4,67,282,1,1,0,0,1
5,4,65,1784,1,1,0,0,1
4,4,37,977,0,1,0,1,1
1,4,12,1419,0,1,0,0,1
5,4,21,1048,1,1,0,0,1
1,4,41,964,1,1,0,0,1
5,4,40,1131,1,1,0,0,1
4,4,66,2486,1,1,0,0,1
4,4,38,3860,1,1,0,0,1
4,4,12,2947,1,1,0,0,1
4,4,51,1881,0,1,0,0,1
5,4,62,2576,1,1,0,0,1
4,4,70,2563,1,1,0,0,1
3,4,37,2215,1,1,0,0,1
5,4,16,1833,1,1,0,0,1
5,4,37,2080,1,1,0,0,1
1,4,56,2227,1,1,0,0,1
4,4,7,1927,1,1,0,0,1
4,4,54,371,1,1,0,0,1
4,4,16,2016,1,1,0,0,1
3,4,50,1235,0,1,0,1,1
4,4,20,2110,1,1,0,0,1
5,4,46,1456,1,1,0,0,1
5,4,45,1061,1,1,0,0,1
5,4,60,1396,1,1,0,0,1
5,4,27,975,1,1,0,0,1
5,4,28,2300,1,1,0,0,1
3,4,50,1281,1,1,0,0,1
5,4,42,1009,0,1,0,0,1
5,4,65,632,1,1,0,0,1
3,4,29,2744,0,1,0,0,1
4,4,68,2231,1,1,0,0,1
4,4,61,711,1,1,0,0,1
3,4,65,587,1,1,0,0,1
3,4,31,2108,1,1,0,0,1
4,4,50,2409,1,1,0,0,1
3,4,51,2280,1,1,0,0,1
1,4,41,1035,0,1,0,0,1
4,4,39,1920,1,1,0,0,1
2,4,55,2393,1,1,0,0,1
4,4,49,2202,1,1,0,0,1
5,4,28,1823,1,1,0,0,1
4,4,24,2139,1,1,0,0,1
1,5,13,6792,1,1,0,0,1
5,5,43,3714,1,1,0,0,1
3,5,55,2342,1,1,0,0,1
1,5,12,3113,1,1,0,0,1
4,5,51,2200,1,1,0,0,1
4,5,68,2992,1,1,0,0,1
4,5,29,3270,1,1,0,0,1
4,5,16,2697,1,1,0,0,1
5,5,35,2689,1,1,0,0,1
3,5,54,1343,1,1,0,0,1
4,5,39,2990,1,1,0,0,1
3,5,50,2466,1,1,0,0,1
3,5,25,1788,1,1,0,0,1
5,5,70,1016,1,1,0,0,1
3,5,53,2050,0,1,0,1,1
5,5,13,1976,1,1,0,0,1
4,5,54,2220,1,1,0,0,1
4,5,32,2091,1,1,0,0,1
3,5,21,2144,1,1,0,0,1
5,5,68,1717,1,1,0,0,1
4,5,26,1870,1,1,0,0,1
4,5,55,816,0,1,0,1,1
5,5,52,788,1,1,0,0,1
4,5,29,2325,1,1,0,0,1
4,5,63,736,1,1,0,0,1
3,5,20,2295,1,1,0,0,1
3,5,27,2231,1,1,0,0,1
4,5,49,604,0,1,0,0,1
3,5,68,1606,1,1,0,0,1
5,5,12,1745,1,1,0,0,1
4,5,22,1638,1,1,0,0,1
5,5,52,1642,0,1,0,1,1
4,5,63,1652,1,1,0,0,1
1,5,51,1629,1,1,0,0,1
5,5,25,1651,1,1,0,0,1
4,5,37,1560,1,1,0,0,1
4,5,67,2123,1,1,0,0,1
5,5,52,2102,1,1,0,0,1
5,5,30,1695,1,1,0,0,1
5,5,22,2162,1,1,0,0,1
4,5,11,1217,1,1,0,0,1
1,5,20,1827,1,1,0,0,1
1,5,23,1788,1,1,0,0,1
3,5,54,237,1,1,0,0,1
5,5,68,71,1,1,0,0,1
3,5,20,1621,1,1,0,0,1
1,5,66,86,1,1,0,0,1
4,5,39,1265,1,1,0,0,1
1,5,63,6591,0,1,0,0,1
5,5,32,3542,1,1,0,0,1
4,5,27,2903,1,1,0,0,1
3,5,51,2597,1,1,0,0,1
2,5,44,1427,1,1,0,0,1
3,5,10,2772,1,1,0,0,1
3,5,59,1214,0,1,0,0,1
5,5,16,2196,1,1,0,0,1
4,5,34,2100,1,1,0,0,1
5,5,23,2881,1,1,0,0,1
5,5,29,2363,1,1,0,0,1
3,5,53,1752,0,1,0,1,1
4,5,19,2348,1,1,0,0,1
5,5,39,1793,0,1,0,1,1
2,5,46,845,1,1,0,0,1
5,5,26,1899,1,1,0,0,1
2,5,10,2153,1,1,0,0,1
2,5,66,2521,1,1,0,0,1
1,5,31,1851,1,1,0,0,1
3,5,42,2388,1,1,0,0,1
5,5,7,2095,0,1,0,1,1
5,5,33,1925,1,1,0,0,1
5,5,25,2515,0,1,0,1,1
4,5,52,2467,1,1,0,0,1
3,5,17,2360,1,1,0,0,1
3,5,9,2347,0,1,0,0,1
4,5,50,561,1,1,0,0,1
4,5,18,1526,1,1,0,0,1
4,5,25,1927,1,1,0,0,1
3,5,11,1862,1,1,0,0,1
4,5,56,1827,1,1,0,0,1
3,5,29,1733,1,1,0,0,1
3,5,46,452,1,1,0,0,1
5,5,49,458,1,1,0,0,1
4,5,10,2052,1,1,0,0,1
5,5,45,457,1,1,0,0,1
3,5,65,468,1,1,0,0,1
3,5,57,470,1,1,0,0,1
4,5,66,434,0,1,0,1,1
5,5,63,2216,1,1,0,0,1
4,5,50,336,1,1,0,0,1
2,5,60,275,1,1,0,0,1
4,5,23,1568,1,1,0,0,1
3,5,8,1727,1,1,0,0,1
4,5,48,1525,1,1,0,0,1
5,5,35,271,0,1,0,0,1
4,5,28,1410,1,1,0,0,1
3,5,23,1154,1,1,0,0,1
4,5,45,1480,1,1,0,0,1
2,5,35,1520,1,1,0,0,1
3,5,48,1685,1,1,0,0,1
5,5,21,1333,1,1,0,0,1
4,5,15,1360,1,1,0,0,1
2,5,69,2356,1,1,0,0,1
3,5,38,4037,1,1,0,0,1
1,5,37,3443,1,1,0,0,1
3,5,64,1664,1,1,0,0,1
3,5,62,1655,1,1,0,0,1
3,5,30,2831,1,1,0,0,1
4,5,55,1517,1,1,0,0,1
5,5,48,1487,1,1,0,0,1
5,5,68,2971,1,1,0,0,1
5,5,16,2006,0,1,0,0,1
4,5,48,2662,1,1,0,0,1
3,5,8,2359,1,1,0,0,1
3,5,42,2376,1,1,0,0,1
5,5,62,2362,1,1,0,0,1
4,5,23,2180,1,1,0,0,1
3,5,58,2250,0,1,0,1,1
5,5,16,2245,1,1,0,0,1
4,5,13,1970,0,1,0,0,1
2,5,17,2104,1,1,0,0,1
4,5,60,1810,1,1,0,0,1
3,5,20,1851,1,1,0,0,1
3,5,12,2638,1,1,0,0,1
4,5,19,2679,1,1,0,0,1
4,5,16,2017,0,1,0,1,1
4,5,13,2411,0,1,0,0,1
3,5,61,887,0,1,0,1,1
5,5,26,1646,1,1,0,0,1
4,5,34,2240,1,1,0,0,1
5,5,51,1754,1,1,0,0,1
3,5,50,2513,1,1,0,0,1
4,5,64,737,0,1,0,0,1
4,5,47,722,1,1,0,0,1
3,5,26,2449,0,1,0,0,1
3,5,9,1825,1,1,0,0,1
5,5,47,648,0,1,0,0,1
1,5,25,2031,1,1,0,0,1
3,5,64,633,1,1,0,0,1
4,5,69,1844,1,1,0,0,1
3,5,31,2023,1,1,0,0,1
2,5,59,556,1,1,0,0,1
3,5,47,529,0,1,0,0,1
3,5,10,2360,0,1,0,0,1
5,5,35,1056,1,1,0,0,1
3,5,36,1229,1,1,0,0,1
4,5,49,1734,1,1,0,0,1
4,5,64,397,1,1,0,0,1
4,5,60,402,1,1,0,0,1
3,5,64,391,1,1,0,0,1
4,5,25,1874,1,1,0,0,1
3,5,58,1545,1,1,0,0,1
5,5,48,2011,1,1,0,0,1
3,5,56,364,1,1,0,0,1
5,5,34,1893,1,1,0,0,1
5,5,61,1055,1,1,0,0,1
3,5,33,1715,0,1,0,1,1
5,5,27,1717,1,1,0,0,1
3,5,12,1965,1,1,0,0,1
4,5,33,1977,1,1,0,0,1
2,5,38,1714,1,1,0,0,1
5,5,22,1803,1,1,0,0,1
1,5,63,1679,0,1,0,1,1
4,5,25,1245,1,1,0,0,1
3,5,38,980,1,1,0,0,1
3,5,25,1612,0,1,0,1,1
5,5,8,1302,1,1,0,0,1
4,5,25,1563,1,1,0,0,1
3,5,32,1247,1,1,0,0,1
5,5,47,224,0,1,0,1,1
3,5,32,1573,0,1,0,1,1
3,5,28,1792,1,1,0,0,1
3,5,12,1393,1,1,0,0,1
5,5,12,1696,1,1,0,0,1
3,5,12,1707,1,1,0,0,1
5,5,61,1822,1,1,0,0,1
5,5,53,1203,1,1,0,0,1
3,5,61,4124,1,1,0,0,1
3,5,62,3117,1,1,0,0,1
3,5,25,3187,1,1,0,0,1
4,5,33,3234,1,1,0,0,1
1,5,64,1542,1,1,0,0,1
4,5,27,3235,1,1,0,0,1
4,5,27,2623,0,1,0,0,1
4,5,53,1301,0,1,0,0,1
4,5,66,2801,1,1,0,0,1
1,5,63,2086,1,1,0,0,1
2,5,66,2143,1,1,0,0,1
1,5,39,2948,0,1,0,1,1
3,5,25,2464,1,1,0,0,1
5,5,21,1799,0,1,0,1,1
5,5,37,1812,1,1,0,0,1
3,5,20,1994,1,1,0,0,1
3,5,32,1836,1,1,0,0,1
